review_id,customer_id,product_id,rating,text,review_date
55,249,299,5,Отлично! Всё супер.,2026-01-22
56,409,645,5,Отлично! Всё супер.,2025-03-06
57,307,155,5,Отлично! Всё супер.,2026-06-06
58,301,995,4,"Хороший товар, рекомендую.",2024-06-29
59,129,712,5,Отлично! Всё супер.,2026-05-16
60,307,326,4,"Хороший товар, рекомендую.",2025-09-24
61,460,783,5,Отлично! Всё супер.,2026-01-16
62,53,177,3,"Нормально, сойдет.",2026-05-03
63,464,505,3,"Нормально, сойдет.",2025-02-25
64,384,261,5,Отлично! Всё супер.,2026-05-26
65,286,466,4,"Хороший товар, рекомендую.",2026-03-14
66,11,370,3,"Нормально, сойдет.",2026-05-14
67,77,148,5,Отлично! Всё супер.,2024-12-29
68,91,386,3,"Нормально, сойдет.",2026-02-28
69,351,831,5,Отлично! Всё супер.,2026-01-15
70,451,662,4,"Хороший товар, рекомендую.",2025-09-11
71,491,197,4,"Хороший товар, рекомендую.",2024-11-24
72,379,754,5,Отлично! Всё супер.,2026-01-18
73,277,837,1,"Ужасно, пришло сломанным.",2024-06-30
74,500,297,3,"Нормально, сойдет.",2025-02-28
75,227,899,4,"Хороший товар, рекомендую.",2025-12-24
76,10,313,5,Отлично! Всё супер.,2026-03-15
77,266,512,5,Отлично! Всё супер.,2025-10-04
78,298,945,5,Отлично! Всё супер.,2025-05-12
79,139,476,4,"Хороший товар, рекомендую.",2026-04-12
80,86,11,1,"Ужасно, пришло сломанным.",2025-05-07
81,315,700,5,Отлично! Всё супер.,2026-02-06
82,260,701,4,"Хороший товар, рекомендую.",2025-12-27
83,314,785,4,"Хороший товар, рекомендую.",2026-05-31
84,98,807,5,Отлично! Всё супер.,2026-01-01
85,255,264,5,Отлично! Всё супер.,2026-01-14
86,463,187,5,Отлично! Всё супер.,2024-07-23
87,325,674,4,"Хороший товар, рекомендую.",2026-02-26
88,486,899,4,"Хороший товар, рекомендую.",2024-09-01
89,163,425,5,Отлично! Всё супер.,2025-08-12
90,95,464,4,"Хороший товар, рекомендую.",2025-04-06
91,243,327,5,Отлично! Всё супер.,2025-12-21
92,82,934,5,Отлично! Всё супер.,2026-06-03
93,79,18,4,"Хороший товар, рекомендую.",2025-11-17
94,454,409,4,"Хороший товар, рекомендую.",2025-01-18
95,43,146,4,"Хороший товар, рекомендую.",2026-04-06
96,69,29,5,Отлично! Всё супер.,2026-06-07
97,294,743,5,Отлично! Всё супер.,2025-07-29
98,78,607,5,Отлично! Всё супер.,2025-06-04
99,37,331,4,"Хороший товар, рекомендую.",2025-05-04
100,489,952,5,Отлично! Всё супер.,2025-08-27
101,112,44,5,Отлично! Всё супер.,2025-12-19
102,163,324,3,"Нормально, сойдет.",2025-08-24
103,359,596,5,Отлично! Всё супер.,2026-01-27
104,224,251,4,"Хороший товар, рекомендую.",2025-07-17
105,369,832,4,"Хороший товар, рекомендую.",2024-12-28
106,210,177,3,"Нормально, сойдет.",2024-10-13
107,371,304,5,Отлично! Всё супер.,2025-04-01
108,489,185,5,Отлично! Всё супер.,2025-06-06
109,194,78,1,"Ужасно, пришло сломанным.",2026-01-09
110,133,639,4,"Хороший товар, рекомендую.",2026-05-28
111,331,685,5,Отлично! Всё супер.,2024-12-11
112,50,200,5,Отлично! Всё супер.,2024-09-19
113,55,229,4,"Хороший товар, рекомендую.",2026-05-15
114,390,872,5,Отлично! Всё супер.,2024-06-20
115,140,588,1,"Ужасно, пришло сломанным.",2025-01-13
116,436,230,5,Отлично! Всё супер.,2026-02-20
117,81,66,5,Отлично! Всё супер.,2025-11-21
118,43,182,5,Отлично! Всё супер.,2025-01-08
119,49,973,5,Отлично! Всё супер.,2024-08-14
120,401,79,5,Отлично! Всё супер.,2024-12-20
121,152,524,4,"Хороший товар, рекомендую.",2026-01-29
122,453,116,5,Отлично! Всё супер.,2025-08-04
123,276,158,5,Отлично! Всё супер.,2025-01-24
124,279,428,5,Отлично! Всё супер.,2025-02-26
125,206,306,5,Отлично! Всё супер.,2025-08-26
126,54,782,5,Отлично! Всё супер.,2025-04-11
127,272,335,5,Отлично! Всё супер.,2024-07-08
128,276,60,4,"Хороший товар, рекомендую.",2025-09-30
129,157,769,4,"Хороший товар, рекомендую.",2025-01-08
130,429,690,3,"Нормально, сойдет.",2025-03-16
131,407,398,1,"Ужасно, пришло сломанным.",2025-01-03
132,476,515,3,"Нормально, сойдет.",2025-11-03
133,255,453,5,Отлично! Всё супер.,2024-12-20
134,246,251,5,Отлично! Всё супер.,2026-02-06
135,267,336,5,Отлично! Всё супер.,2025-10-29
136,492,398,5,Отлично! Всё супер.,2026-02-28
137,145,969,5,Отлично! Всё супер.,2026-01-29
138,384,319,5,Отлично! Всё супер.,2025-09-24
139,61,611,5,Отлично! Всё супер.,2024-06-18
140,67,223,4,"Хороший товар, рекомендую.",2024-09-13
141,93,115,4,"Хороший товар, рекомендую.",2025-02-02
142,367,953,5,Отлично! Всё супер.,2025-08-24
143,75,184,4,"Хороший товар, рекомендую.",2025-11-04
144,94,18,2,Качество не очень.,2025-02-13
145,33,47,4,"Хороший товар, рекомендую.",2026-03-20
146,314,260,4,"Хороший товар, рекомендую.",2024-12-31
147,408,996,5,Отлично! Всё супер.,2026-03-29
148,376,498,3,"Нормально, сойдет.",2024-10-25
149,470,902,5,Отлично! Всё супер.,2025-05-19
150,442,717,5,Отлично! Всё супер.,2025-06-03
151,47,483,5,Отлично! Всё супер.,2024-06-22
152,229,158,5,Отлично! Всё супер.,2025-05-16
153,209,603,5,Отлично! Всё супер.,2024-06-15
154,314,285,5,Отлично! Всё супер.,2025-06-06
155,270,99,5,Отлично! Всё супер.,2024-07-07
156,264,716,5,Отлично! Всё супер.,2025-03-14
157,377,563,3,"Нормально, сойдет.",2025-06-16
158,113,897,1,"Ужасно, пришло сломанным.",2025-10-17
159,210,22,4,"Хороший товар, рекомендую.",2026-03-26
160,382,173,5,Отлично! Всё супер.,2025-08-15
161,32,6,5,Отлично! Всё супер.,2024-11-25
162,101,766,4,"Хороший товар, рекомендую.",2025-04-22
163,173,199,3,"Нормально, сойдет.",2024-07-24
164,97,894,5,Отлично! Всё супер.,2025-09-02
165,165,647,2,Качество не очень.,2026-06-08
166,415,184,1,"Ужасно, пришло сломанным.",2024-08-09
167,454,543,4,"Хороший товар, рекомендую.",2025-01-09
168,282,727,5,Отлично! Всё супер.,2026-05-06
169,182,567,1,"Ужасно, пришло сломанным.",2025-09-26
170,474,428,5,Отлично! Всё супер.,2025-08-11
171,316,176,5,Отлично! Всё супер.,2025-02-07
172,290,786,5,Отлично! Всё супер.,2024-07-28
173,31,462,5,Отлично! Всё супер.,2025-05-17
174,358,443,4,"Хороший товар, рекомендую.",2024-10-26
175,235,775,3,"Нормально, сойдет.",2024-12-26
176,125,879,4,"Хороший товар, рекомендую.",2026-01-24
177,433,570,4,"Хороший товар, рекомендую.",2026-02-10
178,106,904,5,Отлично! Всё супер.,2025-01-09
179,313,915,5,Отлично! Всё супер.,2024-12-27
180,405,904,4,"Хороший товар, рекомендую.",2026-04-15
181,110,835,5,Отлично! Всё супер.,2025-06-28
182,461,765,4,"Хороший товар, рекомендую.",2024-09-15
183,173,651,2,Качество не очень.,2024-12-02
184,324,987,3,"Нормально, сойдет.",2025-10-11
185,416,769,5,Отлично! Всё супер.,2024-10-22
186,207,182,5,Отлично! Всё супер.,2024-10-01
187,54,254,4,"Хороший товар, рекомендую.",2026-04-16
188,157,989,4,"Хороший товар, рекомендую.",2025-10-01
189,1,997,5,Отлично! Всё супер.,2025-10-31
190,80,680,2,Качество не очень.,2024-07-17
191,81,206,5,Отлично! Всё супер.,2024-12-06
192,368,624,5,Отлично! Всё супер.,2024-09-05
193,345,554,3,"Нормально, сойдет.",2025-10-30
194,375,995,5,Отлично! Всё супер.,2024-07-08
195,460,192,4,"Хороший товар, рекомендую.",2024-10-30
196,308,746,4,"Хороший товар, рекомендую.",2025-11-22
197,271,489,5,Отлично! Всё супер.,2025-07-07
198,481,783,4,"Хороший товар, рекомендую.",2026-04-08
199,359,21,5,Отлично! Всё супер.,2025-05-16
200,459,494,4,"Хороший товар, рекомендую.",2025-09-02
201,49,667,4,"Хороший товар, рекомендую.",2025-02-10
202,387,645,1,"Ужасно, пришло сломанным.",2024-07-11
203,423,596,5,Отлично! Всё супер.,2025-08-12
204,326,921,3,"Нормально, сойдет.",2025-12-18
205,268,103,5,Отлично! Всё супер.,2024-12-03
206,417,273,5,Отлично! Всё супер.,2024-07-26
207,39,637,4,"Хороший товар, рекомендую.",2025-12-16
208,311,456,3,"Нормально, сойдет.",2024-12-27
209,60,472,5,Отлично! Всё супер.,2024-12-25
210,356,114,5,Отлично! Всё супер.,2024-06-21
211,304,430,4,"Хороший товар, рекомендую.",2025-11-17
212,274,659,5,Отлично! Всё супер.,2026-03-27
213,355,307,4,"Хороший товар, рекомендую.",2026-04-06
214,255,183,4,"Хороший товар, рекомендую.",2026-03-30
215,9,734,5,Отлично! Всё супер.,2025-03-10
216,78,719,5,Отлично! Всё супер.,2025-08-02
217,189,713,4,"Хороший товар, рекомендую.",2025-12-18
218,205,547,5,Отлично! Всё супер.,2024-07-13
219,88,627,4,"Хороший товар, рекомендую.",2025-09-18
220,295,850,5,Отлично! Всё супер.,2024-12-08
221,166,459,2,Качество не очень.,2025-03-07
222,316,520,4,"Хороший товар, рекомендую.",2024-09-01
223,457,976,5,Отлично! Всё супер.,2024-08-08
224,167,229,3,"Нормально, сойдет.",2025-07-07
225,344,446,5,Отлично! Всё супер.,2025-05-19
226,5,783,5,Отлично! Всё супер.,2024-09-04
227,153,908,4,"Хороший товар, рекомендую.",2025-07-10
228,442,623,3,"Нормально, сойдет.",2024-08-08
229,138,643,1,"Ужасно, пришло сломанным.",2024-12-10
230,392,633,4,"Хороший товар, рекомендую.",2024-11-14
231,303,312,4,"Хороший товар, рекомендую.",2025-02-17
232,225,588,2,Качество не очень.,2025-08-26
233,249,23,5,Отлично! Всё супер.,2025-03-24
234,284,801,5,Отлично! Всё супер.,2026-03-15
235,158,703,5,Отлично! Всё супер.,2026-03-10
236,131,573,5,Отлично! Всё супер.,2025-11-19
237,317,872,4,"Хороший товар, рекомендую.",2025-04-28
238,208,283,5,Отлично! Всё супер.,2024-08-03
239,261,199,2,Качество не очень.,2025-10-20
240,411,517,5,Отлично! Всё супер.,2025-05-06
241,58,421,5,Отлично! Всё супер.,2026-04-20
242,148,860,4,"Хороший товар, рекомендую.",2025-01-14
243,484,646,4,"Хороший товар, рекомендую.",2024-09-28
244,205,751,4,"Хороший товар, рекомендую.",2024-06-28
245,414,547,5,Отлично! Всё супер.,2025-02-17
246,195,300,3,"Нормально, сойдет.",2025-09-23
247,274,29,5,Отлично! Всё супер.,2026-02-11
248,162,11,4,"Хороший товар, рекомендую.",2025-03-15
249,86,679,5,Отлично! Всё супер.,2025-02-24
250,413,404,5,Отлично! Всё супер.,2025-04-22
251,168,989,5,Отлично! Всё супер.,2026-05-07
252,428,909,3,"Нормально, сойдет.",2025-10-28
253,84,409,5,Отлично! Всё супер.,2025-03-27
254,235,41,3,"Нормально, сойдет.",2025-06-09
255,149,567,4,"Хороший товар, рекомендую.",2025-01-23
256,32,19,5,Отлично! Всё супер.,2025-10-05
257,92,278,5,Отлично! Всё супер.,2024-07-03
258,130,368,5,Отлично! Всё супер.,2024-10-11
259,395,227,5,Отлично! Всё супер.,2025-03-22
260,450,553,1,"Ужасно, пришло сломанным.",2024-07-13
261,98,896,5,Отлично! Всё супер.,2025-01-20
262,22,338,5,Отлично! Всё супер.,2026-06-01
263,342,835,4,"Хороший товар, рекомендую.",2024-10-03
264,122,634,5,Отлично! Всё супер.,2026-05-18
265,243,269,5,Отлично! Всё супер.,2025-09-11
266,381,109,5,Отлично! Всё супер.,2024-06-28
267,213,887,5,Отлично! Всё супер.,2024-08-30
268,77,948,4,"Хороший товар, рекомендую.",2025-09-25
269,404,380,5,Отлично! Всё супер.,2024-11-20
270,25,1,5,Отлично! Всё супер.,2026-02-26
271,348,354,4,"Хороший товар, рекомендую.",2025-02-07
272,390,696,5,Отлично! Всё супер.,2025-07-10
273,304,910,4,"Хороший товар, рекомендую.",2025-12-16
274,306,365,5,Отлично! Всё супер.,2026-02-05
275,9,934,5,Отлично! Всё супер.,2026-01-06
276,184,397,5,Отлично! Всё супер.,2025-07-08
277,286,268,4,"Хороший товар, рекомендую.",2026-02-07
278,99,846,5,Отлично! Всё супер.,2025-09-03
279,278,681,4,"Хороший товар, рекомендую.",2025-12-14
280,151,443,5,Отлично! Всё супер.,2025-03-03
281,27,515,4,"Хороший товар, рекомендую.",2026-06-09
282,468,739,5,Отлично! Всё супер.,2024-11-22
283,335,122,5,Отлично! Всё супер.,2025-03-30
284,83,425,5,Отлично! Всё супер.,2026-03-16
285,412,36,5,Отлично! Всё супер.,2025-09-04
286,324,769,1,"Ужасно, пришло сломанным.",2024-07-04
287,191,910,4,"Хороший товар, рекомендую.",2025-11-01
288,25,237,5,Отлично! Всё супер.,2025-12-25
289,152,311,4,"Хороший товар, рекомендую.",2024-10-03
290,130,135,5,Отлично! Всё супер.,2025-04-01
291,481,45,5,Отлично! Всё супер.,2026-01-22
292,141,682,4,"Хороший товар, рекомендую.",2025-10-26
293,217,573,4,"Хороший товар, рекомендую.",2024-08-08
294,206,839,5,Отлично! Всё супер.,2024-08-08
295,85,309,5,Отлично! Всё супер.,2026-06-05
296,194,146,5,Отлично! Всё супер.,2024-11-30
297,65,120,5,Отлично! Всё супер.,2025-08-22
298,177,626,4,"Хороший товар, рекомендую.",2025-07-05
299,447,490,5,Отлично! Всё супер.,2025-08-29
300,478,436,3,"Нормально, сойдет.",2025-10-11
301,95,962,5,Отлично! Всё супер.,2025-08-08
302,64,624,5,Отлично! Всё супер.,2025-12-31
303,121,221,1,"Ужасно, пришло сломанным.",2025-04-29
304,332,676,5,Отлично! Всё супер.,2025-08-01
305,407,31,4,"Хороший товар, рекомендую.",2025-12-30
306,158,492,4,"Хороший товар, рекомендую.",2024-09-11
307,156,555,5,Отлично! Всё супер.,2026-03-29
308,403,334,4,"Хороший товар, рекомендую.",2026-04-22
309,115,616,4,"Хороший товар, рекомендую.",2025-07-23
310,88,99,4,"Хороший товар, рекомендую.",2026-02-18
311,419,238,5,Отлично! Всё супер.,2024-07-18
312,161,7,5,Отлично! Всё супер.,2025-09-23
313,42,993,4,"Хороший товар, рекомендую.",2025-06-10
314,171,747,3,"Нормально, сойдет.",2025-11-03
315,53,171,4,"Хороший товар, рекомендую.",2025-07-21
316,442,922,5,Отлично! Всё супер.,2025-07-18
317,2,759,5,Отлично! Всё супер.,2025-05-17
318,66,675,4,"Хороший товар, рекомендую.",2025-02-10
319,47,953,3,"Нормально, сойдет.",2025-01-04
320,476,735,5,Отлично! Всё супер.,2024-11-07
321,122,946,5,Отлично! Всё супер.,2026-03-20
322,74,649,5,Отлично! Всё супер.,2025-08-29
323,254,161,5,Отлично! Всё супер.,2025-01-22
324,139,549,4,"Хороший товар, рекомендую.",2026-05-17
325,375,253,5,Отлично! Всё супер.,2024-12-15
326,285,329,5,Отлично! Всё супер.,2025-02-19
327,165,568,5,Отлично! Всё супер.,2024-12-14
328,93,599,4,"Хороший товар, рекомендую.",2026-02-19
329,88,698,5,Отлично! Всё супер.,2026-01-26
330,72,730,5,Отлично! Всё супер.,2025-03-17
331,52,416,5,Отлично! Всё супер.,2024-12-05
332,258,336,3,"Нормально, сойдет.",2025-05-29
333,315,87,4,"Хороший товар, рекомендую.",2025-02-08
334,29,345,4,"Хороший товар, рекомендую.",2026-01-11
335,271,873,5,Отлично! Всё супер.,2024-09-06
336,186,316,5,Отлично! Всё супер.,2025-11-29
337,133,459,5,Отлично! Всё супер.,2024-12-13
338,138,483,4,"Хороший товар, рекомендую.",2025-05-20
339,188,654,4,"Хороший товар, рекомендую.",2025-12-30
340,396,145,4,"Хороший товар, рекомендую.",2026-04-23
341,448,542,4,"Хороший товар, рекомендую.",2025-04-23
342,437,750,5,Отлично! Всё супер.,2025-03-17
343,427,809,4,"Хороший товар, рекомендую.",2024-08-09
344,61,365,5,Отлично! Всё супер.,2025-03-09
345,360,826,5,Отлично! Всё супер.,2025-08-18
346,236,205,5,Отлично! Всё супер.,2025-07-06
347,434,923,4,"Хороший товар, рекомендую.",2024-08-07
348,19,342,5,Отлично! Всё супер.,2026-05-20
349,262,548,4,"Хороший товар, рекомендую.",2025-03-17
350,100,128,1,"Ужасно, пришло сломанным.",2025-10-29
351,216,86,5,Отлично! Всё супер.,2025-06-20
352,36,705,5,Отлично! Всё супер.,2025-09-22
353,423,660,4,"Хороший товар, рекомендую.",2024-12-04
354,308,187,5,Отлично! Всё супер.,2025-05-23
355,20,526,4,"Хороший товар, рекомендую.",2026-02-09
356,274,911,4,"Хороший товар, рекомендую.",2025-04-30
357,468,571,3,"Нормально, сойдет.",2024-12-04
358,407,179,2,Качество не очень.,2025-08-25
359,244,202,4,"Хороший товар, рекомендую.",2026-03-13
360,424,569,1,"Ужасно, пришло сломанным.",2026-03-13
361,162,701,4,"Хороший товар, рекомендую.",2024-09-14
362,93,126,2,Качество не очень.,2026-05-29
363,157,419,4,"Хороший товар, рекомендую.",2025-07-31
364,339,218,4,"Хороший товар, рекомендую.",2024-12-16
365,374,232,5,Отлично! Всё супер.,2026-02-02
366,413,804,4,"Хороший товар, рекомендую.",2026-05-16
367,52,525,5,Отлично! Всё супер.,2025-04-21
368,55,365,5,Отлично! Всё супер.,2025-11-14
369,245,193,4,"Хороший товар, рекомендую.",2025-09-06
370,446,391,4,"Хороший товар, рекомендую.",2025-11-08
371,377,491,4,"Хороший товар, рекомендую.",2024-09-24
372,194,956,4,"Хороший товар, рекомендую.",2025-09-22
373,415,408,3,"Нормально, сойдет.",2024-12-28
374,34,318,5,Отлично! Всё супер.,2026-02-17
375,417,406,4,"Хороший товар, рекомендую.",2025-01-17
376,310,590,3,"Нормально, сойдет.",2025-03-01
377,193,645,4,"Хороший товар, рекомендую.",2025-02-07
378,135,995,5,Отлично! Всё супер.,2024-09-08
379,27,625,5,Отлично! Всё супер.,2024-08-11
380,300,810,5,Отлично! Всё супер.,2025-04-22
381,19,115,1,"Ужасно, пришло сломанным.",2025-05-02
382,305,568,1,"Ужасно, пришло сломанным.",2025-07-06
383,117,592,4,"Хороший товар, рекомендую.",2024-10-02
384,464,240,1,"Ужасно, пришло сломанным.",2025-08-30
385,351,726,5,Отлично! Всё супер.,2025-06-27
386,49,722,4,"Хороший товар, рекомендую.",2025-10-13
387,305,420,2,Качество не очень.,2026-04-24
388,149,927,5,Отлично! Всё супер.,2026-01-30
389,334,302,4,"Хороший товар, рекомендую.",2024-11-09
390,377,961,4,"Хороший товар, рекомендую.",2026-05-08
391,265,305,5,Отлично! Всё супер.,2024-10-26
392,481,923,5,Отлично! Всё супер.,2026-04-20
393,315,742,5,Отлично! Всё супер.,2025-05-27
394,190,449,4,"Хороший товар, рекомендую.",2024-06-21
395,467,898,3,"Нормально, сойдет.",2024-10-16
396,397,912,4,"Хороший товар, рекомендую.",2024-09-10
397,326,728,4,"Хороший товар, рекомендую.",2025-04-30
398,387,533,5,Отлично! Всё супер.,2024-12-30
399,266,760,3,"Нормально, сойдет.",2026-01-24
400,304,53,3,"Нормально, сойдет.",2025-08-13
401,37,452,3,"Нормально, сойдет.",2025-12-13
402,237,749,5,Отлично! Всё супер.,2026-06-01
403,339,919,5,Отлично! Всё супер.,2025-06-08
404,324,859,5,Отлично! Всё супер.,2026-01-06
405,71,307,2,Качество не очень.,2024-08-26
406,97,655,5,Отлично! Всё супер.,2024-09-15
407,441,463,5,Отлично! Всё супер.,2026-04-15
408,237,15,5,Отлично! Всё супер.,2024-07-05
409,385,595,5,Отлично! Всё супер.,2026-03-18
410,469,989,5,Отлично! Всё супер.,2025-05-10
411,169,831,4,"Хороший товар, рекомендую.",2024-06-27
412,137,814,2,Качество не очень.,2025-11-26
413,218,509,5,Отлично! Всё супер.,2024-10-16
414,82,536,5,Отлично! Всё супер.,2024-08-04
415,268,108,5,Отлично! Всё супер.,2024-09-19
416,372,223,2,Качество не очень.,2025-07-13
417,108,541,5,Отлично! Всё супер.,2026-04-13
418,386,445,5,Отлично! Всё супер.,2025-07-25
419,59,794,5,Отлично! Всё супер.,2026-05-23
420,126,625,2,Качество не очень.,2025-04-06
421,252,855,5,Отлично! Всё супер.,2026-05-12
422,141,968,5,Отлично! Всё супер.,2025-05-03
423,296,12,5,Отлично! Всё супер.,2025-03-11
424,12,756,5,Отлично! Всё супер.,2024-09-15
425,337,939,5,Отлично! Всё супер.,2025-04-17
426,432,738,5,Отлично! Всё супер.,2025-12-02
427,434,171,5,Отлично! Всё супер.,2025-08-15
428,228,480,5,Отлично! Всё супер.,2024-12-13
429,190,324,5,Отлично! Всё супер.,2025-12-14
430,442,436,3,"Нормально, сойдет.",2025-01-22
431,300,213,5,Отлично! Всё супер.,2024-09-09
432,405,383,4,"Хороший товар, рекомендую.",2025-02-25
433,425,673,2,Качество не очень.,2026-05-07
434,259,552,4,"Хороший товар, рекомендую.",2026-03-11
435,387,740,5,Отлично! Всё супер.,2026-05-07
436,384,13,4,"Хороший товар, рекомендую.",2025-02-25
437,343,327,5,Отлично! Всё супер.,2025-09-11
438,345,405,3,"Нормально, сойдет.",2025-09-24
439,382,125,1,"Ужасно, пришло сломанным.",2025-09-30
440,124,807,3,"Нормально, сойдет.",2024-08-31
441,6,255,5,Отлично! Всё супер.,2025-12-21
442,273,129,5,Отлично! Всё супер.,2024-07-14
443,243,315,5,Отлично! Всё супер.,2024-08-05
444,444,323,3,"Нормально, сойдет.",2026-01-03
445,125,741,4,"Хороший товар, рекомендую.",2026-05-25
446,294,61,4,"Хороший товар, рекомендую.",2025-03-11
447,168,847,5,Отлично! Всё супер.,2025-05-23
448,52,877,5,Отлично! Всё супер.,2026-05-17
449,63,44,5,Отлично! Всё супер.,2025-04-22
450,32,901,4,"Хороший товар, рекомендую.",2025-10-11
451,109,732,3,"Нормально, сойдет.",2025-05-24
452,206,72,4,"Хороший товар, рекомендую.",2026-01-05
453,478,714,5,Отлично! Всё супер.,2026-03-19
454,272,509,5,Отлично! Всё супер.,2025-05-13
455,388,412,4,"Хороший товар, рекомендую.",2025-01-19
456,226,81,3,"Нормально, сойдет.",2026-01-18
457,179,522,4,"Хороший товар, рекомендую.",2025-06-14
458,206,582,5,Отлично! Всё супер.,2025-12-04
459,181,248,4,"Хороший товар, рекомендую.",2024-09-21
460,31,722,5,Отлично! Всё супер.,2025-12-30
461,171,558,1,"Ужасно, пришло сломанным.",2024-10-29
462,448,770,4,"Хороший товар, рекомендую.",2025-12-23
463,221,93,5,Отлично! Всё супер.,2026-01-24
464,490,299,4,"Хороший товар, рекомендую.",2025-09-09
465,127,89,4,"Хороший товар, рекомендую.",2026-05-21
466,441,396,5,Отлично! Всё супер.,2026-03-07
467,123,599,5,Отлично! Всё супер.,2026-06-06
468,96,366,4,"Хороший товар, рекомендую.",2025-07-09
469,450,119,4,"Хороший товар, рекомендую.",2024-08-13
470,149,253,3,"Нормально, сойдет.",2024-10-05
471,348,629,4,"Хороший товар, рекомендую.",2026-05-05
472,69,859,1,"Ужасно, пришло сломанным.",2024-06-15
473,123,483,5,Отлично! Всё супер.,2025-09-13
474,234,29,4,"Хороший товар, рекомендую.",2025-09-12
475,279,609,5,Отлично! Всё супер.,2025-03-23
476,393,666,4,"Хороший товар, рекомендую.",2025-11-14
477,3,352,4,"Хороший товар, рекомендую.",2025-10-26
478,152,182,5,Отлично! Всё супер.,2025-05-27
479,194,827,5,Отлично! Всё супер.,2025-03-30
480,36,837,4,"Хороший товар, рекомендую.",2025-02-12
481,212,79,5,Отлично! Всё супер.,2025-05-15
482,54,639,1,"Ужасно, пришло сломанным.",2024-10-24
483,237,982,5,Отлично! Всё супер.,2025-07-09
484,325,914,5,Отлично! Всё супер.,2025-12-22
485,275,894,4,"Хороший товар, рекомендую.",2025-09-08
486,471,307,5,Отлично! Всё супер.,2025-01-11
487,136,44,4,"Хороший товар, рекомендую.",2026-01-30
488,494,128,5,Отлично! Всё супер.,2024-08-23
489,343,574,1,"Ужасно, пришло сломанным.",2024-12-06
490,70,503,5,Отлично! Всё супер.,2025-01-25
491,5,271,5,Отлично! Всё супер.,2025-06-27
492,215,214,3,"Нормально, сойдет.",2025-02-28
493,479,878,4,"Хороший товар, рекомендую.",2024-07-16
494,53,270,5,Отлично! Всё супер.,2025-08-21
495,347,278,5,Отлично! Всё супер.,2025-07-16
496,271,774,4,"Хороший товар, рекомендую.",2026-05-06
497,304,325,5,Отлично! Всё супер.,2025-07-21
498,475,23,5,Отлично! Всё супер.,2025-09-02
499,295,817,5,Отлично! Всё супер.,2025-07-08
